s,a,r,s'
"[10, 2, 1, 0, 0, 0, 0, 0, 0, 0]",2,-0.5,"[9, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 2, 0, 0, 0, 0, 0, 0, 0, 0]",3,0,"[9, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 3, 0, 0, 0, 0, 0, 0, 0, 0]",4,0,"[9, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 3, 0, 0, 0, 0, 0, 0, 0, 0]",2,0,"[8, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
"[8, 3, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[9, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 3, 0, 0, 0, 0, 0, 0, 0, 0]",1,-0.5,"[9, 2, 0, 0, 0, 1, 0, 0, 0, 0]"
"[9, 2, 0, 0, 0, 1, 0, 0, 0, 0]",4,-0.5,"[9, 2, 0, 0, 0, 1, 0, 0, 0, 0]"
"[9, 2, 0, 0, 0, 1, 0, 0, 0, 0]",0,-0.5,"[10, 2, 0, 1, 0, 0, 0, 0, 0, 0]"
"[10, 2, 0, 1, 0, 0, 0, 0, 0, 0]",1,-0.5,"[10, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[10, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
"[10, 1, 0, 0, 1, 0, 0, 0, 0, 0]",3,-0.5,"[10, 2, 0, 1, 0, 0, 0, 0, 0, 0]"
"[10, 2, 0, 1, 0, 0, 0, 0, 0, 0]",0,-0.5,"[10, 2, 0, 1, 0, 0, 0, 0, 0, 0]"
"[10, 2, 0, 1, 0, 0, 0, 0, 0, 0]",3,-0.5,"[10, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 3, 0, 0, 0, 0, 0, 0, 0, 0]",3,0,"[10, 4, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 4, 0, 0, 0, 0, 0, 0, 0, 0]",2,0,"[9, 4, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 4, 0, 0, 0, 0, 0, 0, 0, 0]",3,0,"[9, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 5, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,"[9, 4, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 4, 0, 0, 0, 0, 0, 0, 0, 0]",3,0,"[9, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 5, 0, 0, 0, 0, 0, 0, 0, 0]",3,0,"[9, 6, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 6, 0, 0, 0, 0, 0, 0, 0, 0]",4,0,"[9, 6, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 6, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[10, 6, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 6, 0, 0, 0, 0, 0, 0, 0, 0]",3,0,"[10, 7, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 7, 0, 0, 0, 0, 0, 0, 0, 0]",2,0,"[9, 7, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 7, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[10, 7, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 7, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[10, 7, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 7, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,"[10, 6, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 6, 0, 0, 0, 0, 0, 0, 0, 0]",4,0,"[10, 6, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 6, 0, 0, 0, 0, 0, 0, 0, 0]",4,0,"[10, 6, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 6, 0, 0, 0, 0, 0, 0, 0, 0]",3,0,"[10, 7, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 7, 0, 0, 0, 0, 0, 0, 0, 0]",3,0,"[10, 8, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 8, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,"[10, 7, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 7, 0, 0, 0, 0, 0, 0, 0, 0]",4,0,"[10, 7, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 7, 0, 0, 0, 0, 0, 0, 0, 0]",2,0,"[9, 7, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 7, 0, 0, 0, 0, 0, 0, 0, 0]",2,0,"[8, 7, 0, 0, 0, 0, 0, 0, 0, 0]"
"[8, 7, 0, 0, 0, 0, 0, 0, 0, 0]",3,0,"[8, 8, 0, 0, 0, 0, 0, 0, 0, 0]"
"[8, 8, 0, 0, 0, 0, 0, 0, 0, 0]",2,0,"[7, 8, 0, 0, 1, 0, 0, 0, 0, 0]"
"[7, 8, 0, 0, 1, 0, 0, 0, 0, 0]",4,-0.5,"[7, 8, 0, 0, 0, 0, 1, 0, 0, 0]"
"[7, 8, 0, 0, 0, 0, 1, 0, 0, 0]",2,-0.5,"[6, 8, 0, 0, 0, 0, 0, 0, 1, 0]"
"[6, 8, 0, 0, 0, 0, 0, 0, 1, 0]",2,0,"[5, 8, 0, 0, 0, 0, 0, 0, 0, 0]"
"[5, 8, 0, 0, 0, 0, 0, 0, 0, 0]",0,-0.5,"[6, 8, 0, 0, 0, 0, 0, 0, 0, 0]"
"[6, 8, 0, 0, 0, 0, 0, 0, 0, 0]",3,0,"[6, 9, 0, 0, 0, 0, 0, 0, 0, 0]"
"[6, 9, 0, 0, 0, 0, 0, 0, 0, 0]",2,0,"[5, 9, 0, 0, 0, 0, 0, 0, 0, 0]"
"[5, 9, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,"[5, 8, 0, 0, 0, 0, 0, 0, 0, 0]"
"[5, 8, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[6, 8, 0, 0, 0, 0, 0, 0, 0, 0]"
"[6, 8, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[7, 8, 0, 0, 0, 0, 0, 0, 0, 0]"
"[7, 8, 0, 0, 0, 0, 0, 0, 0, 0]",4,0,"[7, 8, 0, 0, 0, 0, 0, 0, 0, 0]"
"[7, 8, 0, 0, 0, 0, 0, 0, 0, 0]",4,0,"[7, 8, 0, 0, 0, 0, 0, 0, 0, 0]"
"[7, 8, 0, 0, 0, 0, 0, 0, 0, 0]",3,0,"[7, 9, 0, 0, 0, 0, 0, 0, 0, 0]"
"[7, 9, 0, 0, 0, 0, 0, 0, 0, 0]",1,-0.5,"[7, 8, 0, 0, 0, 0, 0, 0, 0, 0]"
"[7, 8, 0, 0, 0, 0, 0, 0, 0, 0]",3,0,"[7, 9, 0, 0, 0, 0, 0, 0, 0, 0]"
"[7, 9, 0, 0, 0, 0, 0, 0, 0, 0]",4,0,"[7, 9, 0, 0, 0, 0, 0, 0, 0, 0]"
"[7, 9, 0, 0, 0, 0, 0, 0, 0, 0]",4,0,"[7, 9, 0, 0, 0, 0, 0, 0, 0, 0]"
"[7, 9, 0, 0, 0, 0, 0, 0, 0, 0]",4,0,"[7, 9, 0, 0, 0, 0, 0, 0, 0, 0]"
"[7, 9, 0, 0, 0, 0, 0, 0, 0, 0]",4,0,"[7, 9, 0, 0, 0, 0, 0, 0, 0, 0]"
"[7, 9, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[8, 9, 0, 0, 0, 0, 0, 0, 0, 0]"
"[8, 9, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[9, 9, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 9, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,"[9, 8, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 8, 0, 0, 0, 0, 0, 0, 0, 0]",3,0,"[9, 9, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 9, 0, 0, 0, 0, 0, 0, 0, 0]",4,0,"[9, 9, 1, 0, 0, 0, 0, 0, 0, 0]"
"[9, 9, 1, 0, 0, 0, 0, 0, 0, 0]",4,-0.5,"[9, 9, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 9, 0, 0, 0, 0, 0, 0, 0, 0]",3,0,"[9, 10, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 10, 0, 0, 0, 0, 0, 0, 0, 0]",3,0,"[9, 10, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 10, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[10, 10, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 10, 0, 0, 0, 0, 0, 0, 0, 0]",3,0,"[10, 10, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 10, 0, 0, 0, 0, 0, 0, 0, 0]",3,0,"[10, 10, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 10, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,"[10, 9, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 9, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[10, 9, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 9, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[10, 9, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 9, 0, 0, 0, 0, 0, 0, 0, 0]",2,0,"[9, 9, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 9, 0, 0, 0, 0, 0, 0, 0, 0]",2,0,"[8, 9, 0, 0, 0, 0, 0, 0, 0, 0]"
"[8, 9, 0, 0, 0, 0, 0, 0, 0, 0]",3,0,"[8, 10, 0, 0, 0, 0, 0, 0, 0, 0]"
"[8, 10, 0, 0, 0, 0, 0, 0, 0, 0]",2,0,"[7, 10, 0, 0, 0, 0, 0, 0, 0, 0]"
"[7, 10, 0, 0, 0, 0, 0, 0, 0, 0]",4,0,"[7, 10, 0, 0, 0, 0, 0, 0, 0, 0]"
"[7, 10, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[8, 10, 0, 0, 0, 0, 0, 0, 0, 0]"
"[8, 10, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,"[8, 9, 0, 0, 0, 0, 0, 0, 0, 0]"
"[8, 9, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[9, 9, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 9, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[10, 9, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 9, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[10, 9, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 9, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[10, 9, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 9, 0, 0, 0, 0, 0, 0, 0, 0]",3,0,"[10, 10, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 10, 0, 0, 0, 0, 0, 0, 0, 0]",3,0,"[10, 10, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 10, 0, 0, 0, 0, 0, 0, 0, 0]",3,0,"[10, 10, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 10, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,"[10, 9, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 9, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[10, 9, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 9, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,"[10, 8, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 8, 0, 0, 0, 0, 0, 0, 0, 0]",2,0,"[9, 8, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 8, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[10, 8, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 8, 0, 0, 0, 0, 0, 0, 0, 0]",2,0,"[9, 8, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 8, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,"[9, 7, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 7, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,"[9, 6, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 6, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,"[9, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 5, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[10, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 5, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[10, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 5, 0, 0, 0, 0, 0, 0, 0, 0]",2,0,"[9, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 5, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[10, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 5, 0, 0, 0, 0, 0, 0, 0, 0]",1,-0.2,"[10, 4, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 4, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,"[10, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 3, 0, 0, 0, 0, 0, 0, 0, 0]",4,0,"[10, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 3, 0, 0, 0, 0, 0, 0, 0, 0]",3,0,"[10, 4, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 4, 0, 0, 0, 0, 0, 0, 0, 0]",4,0,"[10, 4, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 4, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[10, 4, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 4, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,"[10, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 3, 0, 0, 0, 0, 0, 0, 0, 0]",2,0,"[9, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 3, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,"[9, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 2, 0, 0, 0, 0, 0, 0, 0, 0]",2,-0.5,"[8, 2, 1, 0, 0, 0, 0, 0, 0, 0]"
"[8, 2, 1, 0, 0, 0, 0, 0, 0, 0]",3,0,"[8, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
"[8, 3, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[9, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 3, 0, 0, 0, 0, 0, 0, 0, 0]",3,0,"[9, 4, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 4, 0, 0, 0, 0, 0, 0, 0, 0]",4,0,"[9, 4, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 4, 0, 0, 0, 0, 0, 0, 0, 0]",2,0,"[8, 4, 0, 0, 0, 0, 0, 0, 0, 0]"
"[8, 4, 0, 0, 0, 0, 0, 0, 0, 0]",2,0,"[7, 4, 0, 0, 0, 0, 0, 0, 0, 0]"
"[7, 4, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,"[7, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
"[7, 3, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,"[7, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
"[7, 2, 0, 0, 0, 0, 0, 0, 0, 0]",4,0,"[7, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
"[7, 2, 0, 0, 0, 0, 0, 0, 0, 0]",2,-0.2,"[6, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
"[6, 2, 0, 0, 0, 0, 0, 0, 0, 0]",2,0,"[5, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
"[5, 2, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[6, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
"[6, 2, 0, 0, 0, 0, 0, 0, 0, 0]",4,0,"[6, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
"[6, 2, 0, 0, 0, 0, 0, 0, 0, 0]",3,0,"[6, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
"[6, 3, 0, 0, 0, 0, 0, 0, 0, 0]",2,0,"[5, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
"[5, 3, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,"[5, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
"[5, 2, 0, 0, 0, 0, 0, 0, 0, 0]",2,0,"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
"[4, 2, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[5, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
"[5, 2, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[6, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
"[6, 2, 0, 0, 0, 0, 0, 0, 0, 0]",3,0,"[6, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
"[6, 3, 0, 0, 0, 0, 0, 0, 0, 0]",3,0,"[6, 4, 0, 0, 0, 0, 0, 0, 0, 0]"
"[6, 4, 0, 0, 0, 0, 0, 0, 0, 0]",3,0,"[6, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
"[6, 5, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[7, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
"[7, 5, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,"[7, 4, 0, 0, 0, 0, 0, 0, 0, 0]"
"[7, 4, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[8, 4, 0, 0, 0, 0, 0, 0, 0, 0]"
"[8, 4, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,"[8, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
"[8, 3, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[9, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 3, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[10, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 3, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[10, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
"[10, 3, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,"[10, 3, 1, 0, 0, 0, 0, 0, 0, 0]"
"[10, 3, 1, 0, 0, 0, 0, 0, 0, 0]",2,-0.5,"[9, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 3, 0, 0, 0, 0, 0, 0, 0, 0]",4,0,"[9, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 3, 0, 0, 0, 0, 0, 0, 0, 0]",4,0,"[9, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 3, 0, 0, 0, 0, 0, 0, 0, 0]",1,-0.5,"[9, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 2, 0, 0, 0, 0, 0, 0, 0, 0]",3,0,"[9, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 3, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,"[9, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
"[9, 2, 0, 0, 0, 0, 0, 0, 0, 0]",2,0,"[8, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
"[8, 2, 0, 0, 0, 0, 0, 0, 0, 0]",2,0,"[7, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
"[7, 2, 0, 0, 0, 0, 0, 0, 0, 0]",2,0,"[6, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
"[6, 2, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,"[6, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"[6, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,-0.5,"[5, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
"[5, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,-0.5,"[5, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
"[5, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,-0.5,"[5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"[5, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,0,"[5, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
"[5, 1, 0, 0, 0, 0, 0, 1, 0, 0]",0,-0.5,"[6, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
"[6, 1, 0, 0, 0, 0, 0, 1, 0, 0]",0,-0.5,"[7, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
"[7, 1, 0, 0, 0, 1, 0, 0, 0, 0]",4,-0.5,"[7, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
"[7, 1, 0, 0, 0, 1, 0, 0, 0, 0]",3,0,"[7, 2, 0, 0, 0, 1, 0, 0, 0, 0]"
"[7, 2, 0, 0, 0, 1, 0, 0, 0, 0]",0,-0.5,"[8, 2, 0, 1, 0, 0, 0, 0, 0, 0]"
"[8, 2, 0, 1, 0, 0, 0, 0, 0, 0]",4,-0.5,"[8, 2, 1, 0, 0, 0, 0, 0, 0, 0]"
"[8, 2, 1, 0, 0, 0, 0, 0, 0, 0]",4,-0.5,"[8, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
"[8, 2, 0, 0, 0, 0, 0, 0, 0, 0]",2,0,"[7, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
"[7, 2, 0, 0, 0, 0, 0, 0, 0, 0]",4,0,"[7, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
"[7, 2, 0, 0, 0, 0, 0, 0, 0, 0]",1,-0.5,"[7, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
"[7, 1, 0, 0, 0, 0, 0, 1, 0, 0]",0,-0.5,"[8, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
"[8, 1, 0, 0, 0, 0, 0, 1, 0, 0]",3,0,"[8, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
"[8, 2, 0, 0, 0, 0, 0, 0, 0, 0]",1,-0.5,"[8, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
"[8, 1, 0, 0, 0, 1, 0, 0, 0, 0]",4,-0.5,"[8, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
"[8, 1, 0, 0, 0, 1, 0, 0, 0, 0]",2,-0.5,"[7, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
"[7, 1, 0, 0, 0, 1, 0, 0, 0, 0]",0,-0.5,"[8, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
"[8, 1, 0, 0, 0, 1, 0, 0, 0, 0]",1,-0.5,"[8, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
